1;1;Red,Blue;A strange seed was planted on its back at birth. The plant sprouts and grows with this POKéMON.
2;1;Yellow;It can go for days without eating a single morsel. In the bulb on its back, it stores energy.
3;1;Gold;The seed on its back is filled with nutrients. The seed grows steadily larger as its body grows.
4;1;Silver;It carries a seed on its back right from birth. As it grows older, the seed also grows larger.
5;1;Crystal;While it is young, it uses the nutrients that are stored in the seeds on its back in order to grow.
6;1;Ruby,Sapphire,Emerald;BULBASAUR can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun’s rays, the seed grows progressively larger.
7;1;FireRed;There is a plant seed on its back right from the day this POKéMON is born. The seed slowly grows larger.
8;1;LeafGreen;A strange seed was planted on its back at birth. The plant sprouts and grows with this POKéMON.
9;1;Diamond,Pearl,Platinum;For some time after its birth, it grows by gaining nourishment from the seed on its back.
10;1;HeartGold;The seed on its back is filled with nutrients. The seed grows steadily larger as its body grows.
11;1;SoulSilver;It carries a seed on its back right from birth. As it grows older, the seed also grows larger.
12;1;Black,White,Black 2,White 2;For some time after its birth, it grows by gaining nourishment from the seed on its back.
13;1;X;A strange seed was planted on its back at birth. The plant sprouts and grows with this Pokémon.
14;1;Y;For some time after its birth, it grows by gaining nourishment from the seed on its back.
15;1;Omega Ruby,Alpha Sapphire;Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun’s rays, the seed grows progressively larger.
16;1;Let's Go Pikachu,Let's Go Eevee;It can go for days without eating a single morsel. In the bulb on its back, it stores energy.
17;1;Sword;There is a plant seed on its back right from the day this Pokémon is born. The seed slowly grows larger.
18;1;Shield;While it is young, it uses the nutrients that are stored in the seed on its back in order to grow.
19;2;Red,Blue;When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs.
20;2;Yellow;The bulb on its back grows by drawing energy. It gives off an aroma when it is ready to bloom.
21;2;Gold;Exposure to sunlight adds to its strength. Sunlight also makes the bud on its back grow larger.
22;2;Silver;If the bud on its back starts to smell sweet, it is evidence that the large flower will soon bloom.
23;2;Crystal;The bulb on its back grows as it absorbs nutrients. The bulb gives off a pleasant aroma when it blooms.
24;2;Ruby,Sapphire;There is a bud on this POKéMON’s back. To support its weight, IVYSAUR’s legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it’s a sign that the bud will bloom into a large flower soon.
25;2;FireRed;There is a plant bulb on its back. When it absorbs nutrients, the bulb is said to blossom into a large flower.
26;2;LeafGreen;When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs.
27;2;Emerald;To support its bulb, IVYSAUR’s legs grow sturdy. If it spends more time lying in the sunlight, the bud will soon bloom into a large flower.
28;2;Diamond,Pearl,Platinum;When the bud on its back starts swelling, a sweet aroma wafts to indicate the flower’s coming bloom.
29;2;HeartGold;Exposure to sunlight adds to its strength. Sunlight also makes the bud on its back grow larger.
30;2;SoulSilver;If the bud on its back starts to smell sweet, it is evidence that the large flower will soon bloom.
31;2;Black,White,Black 2,White 2;When the bud on its back starts swelling, a sweet aroma wafts to indicate the flower’s coming bloom.
32;2;X;There is a plant bulb on its back. When it absorbs nutrients, the bulb is said to blossom into a large flower.
33;2;Y;When the bud on its back starts swelling, a sweet aroma wafts to indicate the flower’s coming bloom.
34;2;Omega Ruby,Alpha Sapphire;There is a bud on this Pokémon’s back. To support its weight, Ivysaur’s legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it’s a sign that the bud will bloom into a large flower soon.
35;2;Let's Go Pikachu,Let's Go Eevee;The bud on its back grows by drawing energy. It gives off an aroma when it is ready to bloom.
36;2;Sword;When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs.
37;2;Shield;Exposure to sunlight adds to its strength. Sunlight also makes the bud on its back grow larger.
38;3;Red,Blue;The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.
39;3;Yellow;The flower on its back catches the sun’s rays. The sunlight is then absorbed and used for energy.
